,País de destino,Qtd. Total (L),Valor Total (US$),País de Origem
1,Paraguai,29214770,38719031,1
0,Rússia,39029799,25504484,0
2,Estados Unidos,3563355,9684567,2
3,China,2509458,4746525,3
6,Reino Unido,1239551,4711464,6
4,Espanha,1993000,3808552,4
7,Países Baixos,1236154,3791611,7
9,"Alemanha, República Democrática",909051,2546394,9
8,Japão,1181692,2377716,8
5,Haiti,1791603,2327208,5
12,Bélgica,402667,1395226,12
10,Uruguai,792595,1219878,10
17,Canadá,195491,1097417,17
22,Suíça,152894,906264,22
13,França,317553,720359,13
21,Polônia,154475,611080,21
11,Portugal,419586,581419,11
19,Angola,168868,576189,19
27,Finlândia,86763,537432,27
14,Austrália,274654,469248,14
23,Hong Kong,149132,453894,23
28,Dinamarca,78104,375575,28
30,Luxemburgo,66541,369934,30
31,"Tcheca, República",66529,356395,31
25,Suécia,98535,348397,25
18,Curaçao,191119,320683,18
15,Cuba,271044,304612,15
16,Bolívia,204421,290118,16
29,Taiwan (FORMOSA),76106,277050,29
36,Noruega,34355,262452,36
20,Nigéria,161641,258460,20
34,Argentina,51012,221684,34
32,Panamá,62156,162516,32
49,Emirados Arabes Unidos,17312,144843,49
26,Antilhas Holandesas,97002,142915,26
42,Itália,25597,141298,42
24,Gana,102178,139681,24
50,Irlanda,16970,104717,50
41,Libéria,26953,98667,41
38,Estônia,30071,90830,38
39,Cingapura,27567,90610,39
33,Venezuela,55515,88828,33
35,Colômbia,43886,88017,35
37,"Marshall, Ilhas",30353,87600,37
47,Guine Equatorial,20684,81903,47
56,Catar,13339,81608,56
54,Bahamas,14101,76628,54
55,Nova Zelândia,14030,75209,55
46,Chile,23205,70572,46
43,Peru,24668,53789,43
52,Malta,14222,50749,52
57,Cabo Verde,12625,50363,57
40,Suriname,27101,46390,40
65,México,6326,43837,65
48,Guatemala,20247,43189,48
45,Serra Leoa,23884,41904,45
51,Benin,15399,37765,51
44,Togo,24367,35420,44
61,Quênia,8311,33767,61
53,Filipinas,14222,31397,53
60,Singapura,8826,29780,60
59,Grécia,9480,26256,59
64,Guiana,6633,19890,64
63,Chipre,6805,18096,63
83,"Eslovaca, Republica",585,16063,83
67,"Coreia, Republica Sul",3965,15479,67
58,Vietnã,9799,13013,58
62,Nova Caledônia,7227,11924,62
66,Granada,5610,7914,66
72,Antígua e Barbuda,2104,7738,72
75,Camarões,1749,7654,75
70,Tailândia,2436,6872,70
74,Barein,1771,5855,74
80,Áustria,681,5432,80
81,Hungria,627,4686,81
78,Trinidade Tobago,891,4320,78
68,Equador,3917,4037,68
85,Letônia,387,3723,85
79,Gibraltar,792,2953,79
73,Dominica,1945,2857,73
82,Barbados,615,2552,82
76,Aruba,1350,2435,76
71,São Tomé e Príncipe,2184,2357,71
84,"Cayman, Ilhas",425,1962,84
86,Moçambique,383,1927,86
77,Turquia,1236,1740,77
94,Bulgária,122,1610,94
89,India,318,1390,89
90,Ilha de Man,301,1382,90
69,Brasil,2535,998,69
88,Namibia,340,722,88
91,Omã,194,670,91
93,Honduras,176,610,93
98,Croácia,55,607,98
87,Congo,360,570,87
92,Irã,184,412,92
99,Costa Rica,55,200,99
96,Malásia,63,143,96
109,Bangladesh,12,133,109
102,Montenegro,32,131,102
103,África do Sul,30,116,103
97,El Salvador,55,100,97
104,São Vicente e Granadinas,28,99,104
100,Guine Bissau,48,90,100
112,Mauritânia,9,85,112
105,"Cocos (Keeling), Ilhas",26,60,105
101,Bósnia-Herzegovina,45,52,101
108,Jordânia,12,52,108
95,Guiana Francesa,112,50,95
110,Afeganistão,11,46,110
107,Vanuatu,18,31,107
114,Belice,9,29,114
113,Comores,9,25,113
106,Nicaragua,24,24,106
111,Suazilândia,10,24,111
115,Indonésia,5,6,115
116,Tuvalu,2,4,116
